"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"17/09/21","00:03:01","      0","      0"," 213","   0"
"17/09/21","00:07:53","      0","      0"," 215","   0"
"17/09/21","00:24:49","      0","      0","   0"," 213"
"17/09/21","00:29:22","      0","      0","   0"," 212"
"17/09/21","01:04:35","      0","      0"," 211","   0"
"17/09/21","01:09:13","      0","      0"," 210","   0"
"17/09/21","01:24:28","      0","      0","   0"," 213"
"17/09/21","01:28:54","      0","      0","   0"," 213"
"17/09/21","02:04:25","      0","      0"," 212","   0"
"17/09/21","02:09:05","      0","      0"," 211","   0"
"17/09/21","02:24:38","      0","      0","   0"," 213"
"17/09/21","02:29:11","      0","      0","   0"," 211"
"17/09/21","03:04:30","      0","      0"," 212","   0"
"17/09/21","03:08:40","      0","      0"," 213","   0"
"17/09/21","03:24:37","      0","      0","   0"," 214"
"17/09/21","03:28:56","      0","      0","   0"," 214"
"17/09/21","04:04:31","      0","      0"," 212","   0"
"17/09/21","04:08:49","      0","      0"," 215","   0"
"17/09/21","04:24:24","      0","      0","   0"," 214"
"17/09/21","04:29:03","      0","      0","   0"," 214"
"17/09/21","05:04:40","      0","      0"," 212","   0"
"17/09/21","05:09:01","      0","      0"," 211","   0"
"17/09/21","05:24:23","      0","      0","   0"," 213"
"17/09/21","05:28:25","      0","      0","   0"," 217"
"17/09/21","06:04:18","      0","      0"," 213","   0"
"17/09/21","06:08:27","      0","      0"," 213","   0"
"17/09/21","06:24:21","      0","      0","   0"," 215"
"17/09/21","06:28:28","      0","      0","   0"," 216"
"17/09/21","07:04:14","      0","      0"," 213","   0"
"17/09/21","07:08:23","      0","      0"," 211","   0"
"17/09/21","07:24:36","      0","      0","   0"," 214"
"17/09/21","07:28:53","      0","      0","   0"," 213"
"17/09/21","07:56:45","   1395","      0","   0","   0"
"17/09/21","07:59:25","      0","   1385","   0","   0"
"17/09/21","08:04:57","      0","      0"," 211","   0"
"17/09/21","08:09:21","      0","      0"," 214","   0"
"17/09/21","08:24:18","      0","      0","   0"," 214"
"17/09/21","08:28:28","      0","      0","   0"," 215"
"17/09/21","09:04:15","      0","      0"," 214","   0"
"17/09/21","09:08:29","      0","      0"," 210","   0"
"17/09/21","09:24:16","      0","      0","   0"," 212"
"17/09/21","09:28:26","      0","      0","   0"," 214"
"17/09/21","09:56:41","   1395","      0","   0","   0"
"17/09/21","09:59:21","      0","   1385","   0","   0"
"17/09/21","10:03:59","      0","      0"," 211","   0"
"17/09/21","10:08:08","      0","      0"," 213","   0"
"17/09/21","10:24:03","      0","      0","   0"," 213"
"17/09/21","10:28:24","      0","      0","   0"," 214"
"17/09/21","11:04:10","      0","      0"," 213","   0"
"17/09/21","11:08:26","      0","      0"," 211","   0"
"17/09/21","11:24:23","      0","      0","   0"," 213"
"17/09/21","11:28:46","      0","      0","   0"," 212"
"17/09/21","11:56:41","   1395","      0","   0","   0"
"17/09/21","11:59:21","      0","   1385","   0","   0"
"17/09/21","12:04:07","      0","      0"," 212","   0"
"17/09/21","12:08:17","      0","      0"," 213","   0"
"17/09/21","12:24:22","      0","      0","   0"," 215"
"17/09/21","12:28:18","      0","      0","   0"," 213"
"17/09/21","13:04:30","      0","      0"," 214","   0"
"17/09/21","13:08:25","      0","      0"," 212","   0"
"17/09/21","13:24:28","      0","      0","   0"," 213"
"17/09/21","13:28:35","      0","      0","   0"," 214"
"17/09/21","14:04:21","      0","      0"," 212","   0"
"17/09/21","14:08:29","      0","      0"," 213","   0"
"17/09/21","14:24:12","      0","      0","   0"," 216"
"17/09/21","14:28:25","      0","      0","   0"," 216"
"17/09/21","15:04:13","      0","      0"," 211","   0"
"17/09/21","15:08:12","      0","      0"," 212","   0"
"17/09/21","15:24:12","      0","      0","   0"," 213"
"17/09/21","15:28:20","      0","      0","   0"," 213"
"17/09/21","15:56:42","   1395","      0","   0","   0"
"17/09/21","15:59:22","      0","   1385","   0","   0"
"17/09/21","16:04:04","      0","      0"," 209","   0"
"17/09/21","16:08:18","      0","      0"," 213","   0"
"17/09/21","16:24:06","      0","      0","   0"," 213"
"17/09/21","16:28:07","      0","      0","   0"," 212"
"17/09/21","17:04:01","      0","      0"," 212","   0"
"17/09/21","17:08:16","      0","      0"," 212","   0"
"17/09/21","17:12:13","      0","      0","   0"," 212"
"17/09/21","17:16:22","      0","      0","   0"," 215"
"17/09/21","18:04:15","      0","      0"," 211","   0"
"17/09/21","18:09:08","      0","      0"," 213","   0"
"17/09/21","18:24:47","      0","      0","   0"," 213"
"17/09/21","18:29:26","      0","      0","   0"," 213"
"17/09/21","19:04:48","      0","      0"," 211","   0"
"17/09/21","19:09:09","      0","      0"," 211","   0"
"17/09/21","19:24:49","      0","      0","   0"," 211"
"17/09/21","19:29:46","      0","      0","   0"," 214"
"17/09/21","20:04:36","      0","      0"," 213","   0"
"17/09/21","20:09:19","      0","      0"," 213","   0"
"17/09/21","20:24:48","      0","      0","   0"," 214"
"17/09/21","20:29:30","      0","      0","   0"," 213"
"17/09/21","21:04:38","      0","      0"," 211","   0"
"17/09/21","21:09:26","      0","      0"," 212","   0"
"17/09/21","21:24:42","      0","      0","   0"," 211"
