"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"17/01/11","00:02:09","      0","      0"," 183","   0"
"17/01/11","00:06:16","      0","      0"," 183","   0"
"17/01/11","00:24:01","      0","      0","   0"," 182"
"17/01/11","00:27:25","      0","      0","   0"," 180"
"17/01/11","01:04:06","      0","      0"," 183","   0"
"17/01/11","01:08:08","      0","      0"," 184","   0"
"17/01/11","01:24:13","      0","      0","   0"," 186"
"17/01/11","01:27:28","      0","      0","   0"," 182"
"17/01/11","02:03:56","      0","      0"," 185","   0"
"17/01/11","02:07:59","      0","      0"," 180","   0"
"17/01/11","02:24:01","      0","      0","   0"," 184"
"17/01/11","02:27:31","      0","      0","   0"," 185"
"17/01/11","03:04:09","      0","      0"," 184","   0"
"17/01/11","03:08:17","      0","      0"," 183","   0"
"17/01/11","03:24:02","      0","      0","   0"," 183"
"17/01/11","03:27:18","      0","      0","   0"," 186"
"17/01/11","04:04:07","      0","      0"," 182","   0"
"17/01/11","04:08:10","      0","      0"," 182","   0"
"17/01/11","04:23:24","      0","      0","   0"," 182"
"17/01/11","04:27:18","      0","      0","   0"," 184"
"17/01/11","05:03:58","      0","      0"," 183","   0"
"17/01/11","05:07:16","      0","      0"," 183","   0"
"17/01/11","05:23:48","      0","      0","   0"," 182"
"17/01/11","05:27:47","      0","      0","   0"," 183"
"17/01/11","06:03:32","      0","      0"," 183","   0"
"17/01/11","06:07:25","      0","      0"," 183","   0"
"17/01/11","06:23:23","      0","      0","   0"," 181"
"17/01/11","06:27:11","      0","      0","   0"," 183"
"17/01/11","07:03:22","      0","      0"," 183","   0"
"17/01/11","07:07:18","      0","      0"," 184","   0"
"17/01/11","07:23:24","      0","      0","   0"," 184"
"17/01/11","07:27:07","      0","      0","   0"," 184"
"17/01/11","07:56:58","   1395","      0","   0","   0"
"17/01/11","07:59:40","      0","   1390","   0","   0"
"17/01/11","08:03:59","      0","      0"," 182","   0"
"17/01/11","08:07:24","      0","      0"," 184","   0"
"17/01/11","08:23:58","      0","      0","   0"," 184"
"17/01/11","08:27:33","      0","      0","   0"," 184"
"17/01/11","09:04:07","      0","      0"," 186","   0"
"17/01/11","09:07:28","      0","      0"," 185","   0"
"17/01/11","09:24:01","      0","      0","   0"," 184"
"17/01/11","09:27:15","      0","      0","   0"," 186"
"17/01/11","09:56:59","   1395","      0","   0","   0"
"17/01/11","09:59:41","      0","   1385","   0","   0"
"17/01/11","10:04:11","      0","      0"," 186","   0"
