"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/04/07","00:01:56","      0","      0"," 215","   0"
"16/04/07","00:05:14","      0","      0"," 217","   0"
"16/04/07","00:23:52","      0","      0","   0"," 229"
"16/04/07","00:27:42","      0","      0","   0"," 232"
"16/04/07","01:03:39","      0","      0"," 215","   0"
"16/04/07","01:07:15","      0","      0"," 213","   0"
"16/04/07","01:23:47","      0","      0","   0"," 233"
"16/04/07","01:27:39","      0","      0","   0"," 233"
"16/04/07","02:03:25","      0","      0"," 216","   0"
"16/04/07","02:07:24","      0","      0"," 216","   0"
"16/04/07","02:23:28","      0","      0","   0"," 231"
"16/04/07","02:27:13","      0","      0","   0"," 231"
"16/04/07","03:03:27","      0","      0"," 218","   0"
"16/04/07","03:06:50","      0","      0"," 215","   0"
"16/04/07","03:23:59","      0","      0","   0"," 229"
"16/04/07","03:27:35","      0","      0","   0"," 232"
"16/04/07","04:03:51","      0","      0"," 214","   0"
"16/04/07","04:07:13","      0","      0"," 220","   0"
"16/04/07","04:23:59","      0","      0","   0"," 229"
"16/04/07","04:27:35","      0","      0","   0"," 232"
"16/04/07","05:03:57","      0","      0"," 217","   0"
"16/04/07","05:07:29","      0","      0"," 217","   0"
"16/04/07","05:23:58","      0","      0","   0"," 231"
"16/04/07","05:27:35","      0","      0","   0"," 229"
"16/04/07","06:03:26","      0","      0"," 216","   0"
"16/04/07","06:06:59","      0","      0"," 217","   0"
"16/04/07","06:23:35","      0","      0","   0"," 233"
"16/04/07","06:27:31","      0","      0","   0"," 234"
"16/04/07","07:03:25","      0","      0"," 217","   0"
"16/04/07","07:07:20","      0","      0"," 214","   0"
"16/04/07","07:23:33","      0","      0","   0"," 230"
"16/04/07","07:27:31","      0","      0","   0"," 232"
"16/04/07","07:56:26","   1495","      0","   0","   0"
"16/04/07","07:58:51","      0","   1485","   0","   0"
"16/04/07","08:03:47","      0","      0"," 217","   0"
"16/04/07","08:07:26","      0","      0"," 217","   0"
"16/04/07","08:23:36","      0","      0","   0"," 231"
"16/04/07","08:27:30","      0","      0","   0"," 229"
"16/04/07","09:03:26","      0","      0"," 216","   0"
"16/04/07","09:06:47","      0","      0"," 215","   0"
"16/04/07","09:23:55","      0","      0","   0"," 231"
"16/04/07","09:27:28","      0","      0","   0"," 229"
"16/04/07","09:56:26","   1495","      0","   0","   0"
"16/04/07","09:58:51","      0","   1485","   0","   0"
"16/04/07","10:03:46","      0","      0"," 218","   0"
"16/04/07","10:07:04","      0","      0"," 214","   0"
"16/04/07","10:23:53","      0","      0","   0"," 231"
"16/04/07","10:27:22","      0","      0","   0"," 232"
"16/04/07","11:03:42","      0","      0"," 214","   0"
"16/04/07","11:07:09","      0","      0"," 215","   0"
"16/04/07","11:23:54","      0","      0","   0"," 231"
"16/04/07","11:27:17","      0","      0","   0"," 232"
"16/04/07","11:56:26","   1495","      0","   0","   0"
"16/04/07","11:58:51","      0","   1485","   0","   0"
"16/04/07","12:03:45","      0","      0"," 216","   0"
"16/04/07","12:07:03","      0","      0"," 214","   0"
"16/04/07","12:24:03","      0","      0","   0"," 230"
"16/04/07","12:27:49","      0","      0","   0"," 230"
"16/04/07","13:03:24","      0","      0"," 217","   0"
"16/04/07","13:07:02","      0","      0"," 215","   0"
