"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/02/05","00:02:17","      0","      0"," 225","   0"
"16/02/05","00:06:33","      0","      0"," 227","   0"
"16/02/05","00:24:06","      0","      0","   0"," 227"
"16/02/05","00:28:18","      0","      0","   0"," 227"
"16/02/05","01:04:05","      0","      0"," 225","   0"
"16/02/05","01:08:26","      0","      0"," 227","   0"
"16/02/05","01:24:11","      0","      0","   0"," 226"
"16/02/05","01:28:06","      0","      0","   0"," 225"
"16/02/05","02:03:37","      0","      0"," 225","   0"
"16/02/05","02:07:43","      0","      0"," 226","   0"
"16/02/05","02:24:15","      0","      0","   0"," 226"
"16/02/05","02:28:14","      0","      0","   0"," 224"
"16/02/05","03:04:10","      0","      0"," 226","   0"
"16/02/05","03:08:00","      0","      0"," 223","   0"
"16/02/05","03:23:43","      0","      0","   0"," 225"
"16/02/05","03:27:51","      0","      0","   0"," 224"
"16/02/05","04:04:14","      0","      0"," 227","   0"
"16/02/05","04:08:31","      0","      0"," 224","   0"
"16/02/05","04:24:04","      0","      0","   0"," 225"
"16/02/05","04:28:03","      0","      0","   0"," 226"
"16/02/05","05:03:52","      0","      0"," 225","   0"
"16/02/05","05:07:47","      0","      0"," 225","   0"
"16/02/05","05:24:00","      0","      0","   0"," 226"
"16/02/05","05:27:33","      0","      0","   0"," 225"
"16/02/05","06:04:01","      0","      0"," 225","   0"
"16/02/05","06:07:59","      0","      0"," 229","   0"
"16/02/05","06:23:40","      0","      0","   0"," 224"
"16/02/05","06:27:40","      0","      0","   0"," 226"
"16/02/05","07:03:27","      0","      0"," 226","   0"
"16/02/05","07:07:20","      0","      0"," 226","   0"
"16/02/05","07:23:57","      0","      0","   0"," 228"
"16/02/05","07:27:48","      0","      0","   0"," 227"
"16/02/05","07:56:21","   1495","      0","   0","   0"
"16/02/05","07:58:42","      0","   1485","   0","   0"
"16/02/05","08:04:05","      0","      0"," 225","   0"
"16/02/05","08:07:50","      0","      0"," 228","   0"
"16/02/05","08:23:40","      0","      0","   0"," 226"
"16/02/05","08:27:28","      0","      0","   0"," 228"
"16/02/05","09:03:55","      0","      0"," 225","   0"
