"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/08/01","00:01:22","      0","      0"," 207","   0"
"16/08/01","00:04:29","      0","      0"," 207","   0"
"16/08/01","00:23:49","      0","      0","   0"," 212"
"16/08/01","00:27:12","      0","      0","   0"," 212"
"16/08/01","01:03:15","      0","      0"," 208","   0"
"16/08/01","01:06:58","      0","      0"," 206","   0"
"16/08/01","01:23:11","      0","      0","   0"," 212"
"16/08/01","01:26:47","      0","      0","   0"," 211"
"16/08/01","02:03:41","      0","      0"," 209","   0"
"16/08/01","02:06:51","      0","      0"," 206","   0"
"16/08/01","02:23:33","      0","      0","   0"," 208"
"16/08/01","02:27:02","      0","      0","   0"," 211"
"16/08/01","03:03:18","      0","      0"," 206","   0"
"16/08/01","03:06:58","      0","      0"," 205","   0"
"16/08/01","03:23:13","      0","      0","   0"," 213"
"16/08/01","03:26:47","      0","      0","   0"," 210"
"16/08/01","04:02:58","      0","      0"," 206","   0"
"16/08/01","04:06:45","      0","      0"," 208","   0"
"16/08/01","04:23:26","      0","      0","   0"," 212"
"16/08/01","04:26:48","      0","      0","   0"," 212"
"16/08/01","05:03:34","      0","      0"," 206","   0"
"16/08/01","05:06:42","      0","      0"," 205","   0"
"16/08/01","05:23:43","      0","      0","   0"," 209"
"16/08/01","05:27:08","      0","      0","   0"," 211"
"16/08/01","06:03:24","      0","      0"," 205","   0"
"16/08/01","06:07:08","      0","      0"," 207","   0"
"16/08/01","06:23:17","      0","      0","   0"," 206"
"16/08/01","06:26:55","      0","      0","   0"," 212"
"16/08/01","07:03:20","      0","      0"," 205","   0"
"16/08/01","07:07:14","      0","      0"," 209","   0"
"16/08/01","07:23:20","      0","      0","   0"," 212"
"16/08/01","07:27:02","      0","      0","   0"," 210"
"16/08/01","07:56:59","   1595","      0","   0","   0"
"16/08/01","07:59:42","      0","   1585","   0","   0"
"16/08/01","08:03:29","      0","      0"," 206","   0"
"16/08/01","08:06:41","      0","      0"," 206","   0"
"16/08/01","08:23:48","      0","      0","   0"," 211"
"16/08/01","08:27:02","      0","      0","   0"," 210"
"16/08/01","09:03:43","      0","      0"," 205","   0"
"16/08/01","09:06:42","      0","      0"," 208","   0"
"16/08/01","09:23:16","      0","      0","   0"," 212"
"16/08/01","09:26:49","      0","      0","   0"," 214"
"16/08/01","09:56:56","   1595","      0","   0","   0"
"16/08/01","09:59:40","      0","   1585","   0","   0"
"16/08/01","10:03:07","      0","      0"," 205","   0"
"16/08/01","10:06:46","      0","      0"," 206","   0"
"16/08/01","10:23:14","      0","      0","   0"," 212"
"16/08/01","10:26:29","      0","      0","   0"," 212"
"16/08/01","11:03:27","      0","      0"," 199","   0"
"16/08/01","11:06:27","      0","      0"," 206","   0"
"16/08/01","11:23:30","      0","      0","   0"," 211"
"16/08/01","11:26:58","      0","      0","   0"," 209"
"16/08/01","11:56:53","   1595","      0","   0","   0"
"16/08/01","11:59:37","      0","   1585","   0","   0"
"16/08/01","12:03:12","      0","      0"," 205","   0"
"16/08/01","12:06:53","      0","      0"," 206","   0"
"16/08/01","12:23:14","      0","      0","   0"," 210"
"16/08/01","12:26:33","      0","      0","   0"," 212"
"16/08/01","13:03:28","      0","      0"," 208","   0"
"16/08/01","13:06:34","      0","      0"," 205","   0"
"16/08/01","13:23:38","      0","      0","   0"," 212"
"16/08/01","13:26:51","      0","      0","   0"," 210"
"16/08/01","14:03:06","      0","      0"," 207","   0"
"16/08/01","14:06:46","      0","      0"," 205","   0"
"16/08/01","14:23:19","      0","      0","   0"," 213"
"16/08/01","14:26:36","      0","      0","   0"," 212"
"16/08/01","15:03:33","      0","      0"," 204","   0"
"16/08/01","15:06:46","      0","      0"," 206","   0"
"16/08/01","15:23:42","      0","      0","   0"," 210"
"16/08/01","15:26:57","      0","      0","   0"," 211"
"16/08/01","15:56:58","   1595","      0","   0","   0"
"16/08/01","15:59:41","      0","   1585","   0","   0"
"16/08/01","16:03:18","      0","      0"," 207","   0"
"16/08/01","16:06:56","      0","      0"," 205","   0"
"16/08/01","16:23:14","      0","      0","   0"," 211"
"16/08/01","16:26:47","      0","      0","   0"," 211"
"16/08/01","17:03:04","      0","      0"," 207","   0"
"16/08/01","17:06:32","      0","      0"," 201","   0"
"16/08/01","17:09:43","      0","      0","   0"," 213"
"16/08/01","17:12:53","      0","      0","   0"," 209"
"16/08/01","18:03:30","      0","      0"," 201","   0"
"16/08/01","18:06:39","      0","      0"," 206","   0"
"16/08/01","18:23:32","      0","      0","   0"," 206"
"16/08/01","18:26:36","      0","      0","   0"," 206"
"16/08/01","19:03:39","      0","      0"," 206","   0"
"16/08/01","19:06:54","      0","      0"," 206","   0"
"16/08/01","19:23:29","      0","      0","   0"," 206"
"16/08/01","19:26:39","      0","      0","   0"," 206"
"16/08/01","20:03:19","      0","      0"," 202","   0"
"16/08/01","20:06:49","      0","      0"," 206","   0"
"16/08/01","20:23:15","      0","      0","   0"," 205"
"16/08/01","20:26:50","      0","      0","   0"," 207"
"16/08/01","21:03:15","      0","      0"," 207","   0"
"16/08/01","21:06:51","      0","      0"," 205","   0"
"16/08/01","21:23:09","      0","      0","   0"," 205"
"16/08/01","21:26:40","      0","      0","   0"," 203"
"16/08/01","22:03:05","      0","      0"," 206","   0"
"16/08/01","22:06:31","      0","      0"," 206","   0"
"16/08/01","22:23:08","      0","      0","   0"," 205"
"16/08/01","22:26:38","      0","      0","   0"," 205"
"16/08/01","23:03:25","      0","      0"," 205","   0"
"16/08/01","23:06:57","      0","      0"," 205","   0"
"16/08/01","23:23:14","      0","      0","   0"," 205"
"16/08/01","23:26:40","      0","      0","   0"," 206"
