"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"15/11/21","00:02:04","      0","      0"," 201","   0"
"15/11/21","00:06:23","      0","      0"," 201","   0"
"15/11/21","00:24:44","      0","      0","   0"," 222"
"15/11/21","00:29:18","      0","      0","   0"," 219"
"15/11/21","01:04:58","      0","      0"," 198","   0"
"15/11/21","01:09:22","      0","      0"," 201","   0"
"15/11/21","01:21:34","      0","      0","   0","  71"
"15/11/21","01:26:34","      0","      0","   0"," 217"
"15/11/21","02:04:33","      0","      0"," 199","   0"
"15/11/21","02:09:07","      0","      0"," 198","   0"
"15/11/21","02:24:47","      0","      0","   0"," 220"
"15/11/21","02:29:31","      0","      0","   0"," 220"
"15/11/21","03:04:24","      0","      0"," 201","   0"
"15/11/21","03:08:28","      0","      0"," 201","   0"
"15/11/21","03:24:23","      0","      0","   0"," 219"
"15/11/21","03:29:01","      0","      0","   0"," 220"
"15/11/21","04:04:09","      0","      0"," 200","   0"
"15/11/21","04:08:14","      0","      0"," 198","   0"
"15/11/21","04:21:38","      0","      0","   0","  87"
"15/11/21","04:26:36","      0","      0","   0"," 220"
"15/11/21","05:04:14","      0","      0"," 200","   0"
"15/11/21","05:08:22","      0","      0"," 201","   0"
"15/11/21","05:24:22","      0","      0","   0"," 219"
"15/11/21","05:28:41","      0","      0","   0"," 221"
"15/11/21","06:03:55","      0","      0"," 200","   0"
"15/11/21","06:07:51","      0","      0"," 199","   0"
"15/11/21","06:24:05","      0","      0","   0"," 217"
"15/11/21","06:28:23","      0","      0","   0"," 219"
"15/11/21","07:04:09","      0","      0"," 199","   0"
"15/11/21","07:07:50","      0","      0"," 202","   0"
"15/11/21","07:24:12","      0","      0","   0"," 216"
"15/11/21","07:28:22","      0","      0","   0"," 220"
"15/11/21","07:56:31","   1595","      0","   0","   0"
"15/11/21","07:58:54","      0","   1585","   0","   0"
"15/11/21","08:03:36","      0","      0"," 200","   0"
"15/11/21","08:07:34","      0","      0"," 199","   0"
"15/11/21","08:24:08","      0","      0","   0"," 220"
"15/11/21","08:28:14","      0","      0","   0"," 218"
"15/11/21","09:04:06","      0","      0"," 200","   0"
"15/11/21","09:08:06","      0","      0"," 200","   0"
"15/11/21","09:21:43","      0","      0","   0","  94"
"15/11/21","09:26:19","      0","      0","   0"," 221"
"15/11/21","09:56:33","   1595","      0","   0","   0"
"15/11/21","09:58:53","      0","   1585","   0","   0"
"15/11/21","10:04:04","      0","      0"," 203","   0"
"15/11/21","10:07:58","      0","      0"," 205","   0"
"15/11/21","10:21:46","      0","      0","   0","  92"
"15/11/21","10:26:17","      0","      0","   0"," 226"
"15/11/21","11:03:51","      0","      0"," 203","   0"
"15/11/21","11:07:48","      0","      0"," 200","   0"
"15/11/21","11:21:50","      0","      0","   0","  99"
"15/11/21","11:26:24","      0","      0","   0"," 224"
"15/11/21","11:56:33","   1595","      0","   0","   0"
"15/11/21","11:58:55","      0","   1585","   0","   0"
"15/11/21","12:04:04","      0","      0"," 204","   0"
"15/11/21","12:08:01","      0","      0"," 205","   0"
"15/11/21","12:24:16","      0","      0","   0"," 225"
"15/11/21","12:28:22","      0","      0","   0"," 224"
"15/11/21","13:03:49","      0","      0"," 207","   0"
"15/11/21","13:07:41","      0","      0"," 207","   0"
"15/11/21","13:24:08","      0","      0","   0"," 223"
"15/11/21","13:28:05","      0","      0","   0"," 226"
"15/11/21","14:03:47","      0","      0"," 205","   0"
"15/11/21","14:07:34","      0","      0"," 204","   0"
"15/11/21","14:21:55","      0","      0","   0"," 117"
"15/11/21","14:26:13","      0","      0","   0"," 226"
"15/11/21","15:03:59","      0","      0"," 203","   0"
"15/11/21","15:07:38","      0","      0"," 205","   0"
"15/11/21","15:24:09","      0","      0","   0"," 223"
"15/11/21","15:28:32","      0","      0","   0"," 224"
"15/11/21","15:56:31","   1595","      0","   0","   0"
"15/11/21","15:58:53","      0","   1585","   0","   0"
"15/11/21","16:03:54","      0","      0"," 204","   0"
"15/11/21","16:07:48","      0","      0"," 204","   0"
"15/11/21","16:21:46","      0","      0","   0"," 100"
"15/11/21","16:25:52","      0","      0","   0"," 223"
