"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/02/04","00:02:05","      0","      0"," 225","   0"
"16/02/04","00:05:53","      0","      0"," 225","   0"
"16/02/04","00:24:06","      0","      0","   0"," 229"
"16/02/04","00:28:03","      0","      0","   0"," 226"
"16/02/04","01:03:52","      0","      0"," 226","   0"
"16/02/04","01:07:55","      0","      0"," 224","   0"
"16/02/04","01:23:51","      0","      0","   0"," 225"
"16/02/04","01:28:06","      0","      0","   0"," 222"
"16/02/04","02:03:50","      0","      0"," 219","   0"
"16/02/04","02:07:47","      0","      0"," 225","   0"
"16/02/04","02:23:49","      0","      0","   0"," 227"
"16/02/04","02:27:41","      0","      0","   0"," 225"
"16/02/04","03:03:56","      0","      0"," 226","   0"
"16/02/04","03:07:46","      0","      0"," 226","   0"
"16/02/04","03:23:46","      0","      0","   0"," 226"
"16/02/04","03:27:42","      0","      0","   0"," 224"
"16/02/04","04:03:40","      0","      0"," 226","   0"
"16/02/04","04:07:28","      0","      0"," 227","   0"
"16/02/04","04:23:41","      0","      0","   0"," 227"
"16/02/04","04:27:42","      0","      0","   0"," 227"
"16/02/04","05:03:23","      0","      0"," 225","   0"
"16/02/04","05:07:09","      0","      0"," 224","   0"
"16/02/04","05:23:52","      0","      0","   0"," 225"
"16/02/04","05:27:49","      0","      0","   0"," 225"
"16/02/04","06:03:38","      0","      0"," 226","   0"
"16/02/04","06:07:36","      0","      0"," 225","   0"
"16/02/04","06:23:47","      0","      0","   0"," 227"
"16/02/04","06:27:44","      0","      0","   0"," 225"
"16/02/04","07:03:35","      0","      0"," 227","   0"
"16/02/04","07:07:29","      0","      0"," 223","   0"
"16/02/04","07:23:51","      0","      0","   0"," 224"
"16/02/04","07:27:40","      0","      0","   0"," 225"
"16/02/04","07:56:21","   1495","      0","   0","   0"
"16/02/04","07:58:42","      0","   1485","   0","   0"
"16/02/04","08:03:43","      0","      0"," 225","   0"
"16/02/04","08:07:31","      0","      0"," 226","   0"
"16/02/04","08:23:46","      0","      0","   0"," 226"
"16/02/04","08:27:43","      0","      0","   0"," 226"
"16/02/04","09:03:51","      0","      0"," 224","   0"
"16/02/04","09:07:29","      0","      0"," 225","   0"
"16/02/04","09:24:04","      0","      0","   0"," 223"
