"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"18/01/22","00:02:47","      0","      0"," 205","   0"
"18/01/22","00:07:25","      0","      0"," 203","   0"
"18/01/22","00:24:30","      0","      0","   0"," 203"
"18/01/22","00:29:10","      0","      0","   0"," 205"
"18/01/22","01:04:44","      0","      0"," 202","   0"
"18/01/22","01:09:16","      0","      0"," 200","   0"
"18/01/22","01:24:41","      0","      0","   0"," 198"
"18/01/22","01:29:02","      0","      0","   0"," 196"
"18/01/22","02:04:29","      0","      0"," 204","   0"
"18/01/22","02:08:52","      0","      0"," 203","   0"
"18/01/22","02:24:21","      0","      0","   0"," 206"
"18/01/22","02:28:43","      0","      0","   0"," 200"
"18/01/22","03:04:26","      0","      0"," 197","   0"
"18/01/22","03:08:50","      0","      0"," 184","   0"
"18/01/22","03:24:27","      0","      0","   0"," 196"
"18/01/22","03:28:44","      0","      0","   0"," 195"
"18/01/22","04:04:20","      0","      0"," 205","   0"
"18/01/22","04:08:55","      0","      0"," 199","   0"
"18/01/22","04:24:08","      0","      0","   0"," 201"
"18/01/22","04:28:39","      0","      0","   0"," 197"
"18/01/22","05:04:49","      0","      0"," 207","   0"
"18/01/22","05:09:12","      0","      0"," 200","   0"
"18/01/22","05:24:17","      0","      0","   0"," 195"
"18/01/22","05:28:35","      0","      0","   0"," 197"
"18/01/22","06:04:24","      0","      0"," 198","   0"
"18/01/22","06:09:03","      0","      0"," 208","   0"
"18/01/22","06:24:29","      0","      0","   0"," 195"
"18/01/22","06:28:42","      0","      0","   0"," 197"
"18/01/22","07:04:14","      0","      0"," 197","   0"
"18/01/22","07:08:34","      0","      0"," 198","   0"
"18/01/22","07:24:10","      0","      0","   0"," 200"
"18/01/22","07:28:41","      0","      0","   0"," 194"
"18/01/22","07:56:58","   1330","      0","   0","   0"
"18/01/22","07:59:58","   1320","   1320","   0","   0"
"18/01/22","08:04:18","      0","      0"," 203","   0"
"18/01/22","08:08:24","      0","      0"," 196","   0"
"18/01/22","08:24:36","      0","      0","   0"," 199"
"18/01/22","08:29:03","      0","      0","   0"," 201"
"18/01/22","09:04:20","      0","      0"," 199","   0"
"18/01/22","09:08:53","      0","      0"," 203","   0"
"18/01/22","09:24:21","      0","      0","   0"," 202"
"18/01/22","09:28:36","      0","      0","   0"," 201"
"18/01/22","09:56:59","   1330","      0","   0","   0"
"18/01/22","10:00:00","   1320","   1320","   0","   0"
"18/01/22","10:04:16","      0","      0"," 196","   0"
"18/01/22","10:08:37","      0","      0"," 203","   0"
"18/01/22","10:24:13","      0","      0","   0"," 199"
"18/01/22","10:28:27","      0","      0","   0"," 204"
"18/01/22","11:04:23","      0","      0"," 210","   0"
"18/01/22","11:08:51","      0","      0"," 212","   0"
"18/01/22","11:24:23","      0","      0","   0"," 211"
"18/01/22","11:29:03","      0","      0","   0"," 206"
"18/01/22","11:57:02","   1325","      0","   0","   0"
"18/01/22","12:00:04","      0","   1320","   0","   0"
"18/01/22","12:04:41","      0","      0"," 205","   0"
"18/01/22","12:09:00","      0","      0"," 209","   0"
"18/01/22","12:24:26","      0","      0","   0"," 216"
"18/01/22","12:28:39","      0","      0","   0"," 212"
"18/01/22","13:04:30","      0","      0"," 209","   0"
"18/01/22","13:08:42","      0","      0"," 220","   0"
"18/01/22","13:24:38","      0","      0","   0"," 216"
"18/01/22","13:29:01","      0","      0","   0"," 210"
"18/01/22","14:04:47","      0","      0"," 204","   0"
"18/01/22","14:09:10","      0","      0"," 207","   0"
"18/01/22","14:24:18","      0","      0","   0"," 205"
"18/01/22","14:28:38","      0","      0","   0"," 217"
"18/01/22","15:04:18","      0","      0"," 206","   0"
"18/01/22","15:08:37","      0","      0"," 213","   0"
"18/01/22","15:24:16","      0","      0","   0"," 212"
"18/01/22","15:28:33","      0","      0","   0"," 219"
"18/01/22","15:57:02","   1325","      0","   0","   0"
"18/01/22","16:00:03","      0","   1320","   0","   0"
"18/01/22","16:04:23","      0","      0"," 214","   0"
"18/01/22","16:08:44","      0","      0"," 213","   0"
"18/01/22","16:24:18","      0","      0","   0"," 211"
"18/01/22","16:28:43","      0","      0","   0"," 206"
"18/01/22","17:04:12","      0","      0"," 209","   0"
"18/01/22","17:08:41","      0","      0"," 212","   0"
"18/01/22","17:12:55","      0","      0","   0"," 212"
"18/01/22","17:17:10","      0","      0","   0"," 215"
"18/01/22","18:04:27","      0","      0"," 202","   0"
"18/01/22","18:08:38","      0","      0"," 203","   0"
"18/01/22","18:24:28","      0","      0","   0"," 203"
"18/01/22","18:28:38","      0","      0","   0"," 208"
"18/01/22","19:04:16","      0","      0"," 212","   0"
"18/01/22","19:08:24","      0","      0"," 208","   0"
"18/01/22","19:24:24","      0","      0","   0"," 211"
"18/01/22","19:28:23","      0","      0","   0"," 213"
"18/01/22","20:04:19","      0","      0"," 214","   0"
"18/01/22","20:08:09","      0","      0"," 210","   0"
"18/01/22","20:24:25","      0","      0","   0"," 208"
"18/01/22","20:28:14","      0","      0","   0"," 214"
"18/01/22","21:04:27","      0","      0"," 208","   0"
"18/01/22","21:08:40","      0","      0"," 209","   0"
"18/01/22","21:24:10","      0","      0","   0"," 204"
"18/01/22","21:28:21","      0","      0","   0"," 203"
"18/01/22","22:04:22","      0","      0"," 213","   0"
"18/01/22","22:08:36","      0","      0"," 206","   0"
"18/01/22","22:24:10","      0","      0","   0"," 209"
"18/01/22","22:28:19","      0","      0","   0"," 216"
"18/01/22","23:04:00","      0","      0"," 208","   0"
"18/01/22","23:08:15","      0","      0"," 209","   0"
"18/01/22","23:23:59","      0","      0","   0"," 217"
"18/01/22","23:28:34","      0","      0","   0"," 209"
