"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/11/21","00:02:50","      0","      0"," 224","   0"
"16/11/21","00:07:38","      0","      0"," 222","   0"
"16/11/21","00:25:14","      0","      0","   0"," 221"
"16/11/21","00:30:11","      0","      0","   0"," 224"
"16/11/21","01:04:54","      0","      0"," 222","   0"
"16/11/21","01:09:54","      0","      0"," 223","   0"
"16/11/21","01:25:02","      0","      0","   0"," 222"
"16/11/21","01:30:02","      0","      0","   0"," 221"
"16/11/21","02:05:08","      0","      0"," 222","   0"
"16/11/21","02:10:22","      0","      0"," 222","   0"
"16/11/21","02:24:55","      0","      0","   0"," 221"
"16/11/21","02:29:52","      0","      0","   0"," 220"
"16/11/21","03:05:12","      0","      0"," 221","   0"
"16/11/21","03:09:43","      0","      0"," 221","   0"
"16/11/21","03:24:35","      0","      0","   0"," 224"
"16/11/21","03:29:48","      0","      0","   0"," 223"
"16/11/21","04:05:05","      0","      0"," 221","   0"
"16/11/21","04:10:02","      0","      0"," 220","   0"
"16/11/21","04:24:47","      0","      0","   0"," 222"
"16/11/21","04:29:40","      0","      0","   0"," 222"
"16/11/21","05:04:47","      0","      0"," 224","   0"
"16/11/21","05:09:04","      0","      0"," 223","   0"
"16/11/21","05:24:43","      0","      0","   0"," 222"
"16/11/21","05:29:28","      0","      0","   0"," 221"
"16/11/21","06:04:44","      0","      0"," 222","   0"
"16/11/21","06:09:05","      0","      0"," 219","   0"
"16/11/21","06:24:44","      0","      0","   0"," 217"
"16/11/21","06:29:33","      0","      0","   0"," 222"
"16/11/21","07:04:25","      0","      0"," 222","   0"
"16/11/21","07:09:14","      0","      0"," 223","   0"
"16/11/21","07:24:59","      0","      0","   0"," 222"
"16/11/21","07:29:18","      0","      0","   0"," 221"
"16/11/21","07:56:52","   1485","      0","   0","   0"
"16/11/21","07:59:33","      0","   1475","   0","   0"
"16/11/21","08:04:53","      0","      0"," 221","   0"
"16/11/21","08:09:24","      0","      0"," 221","   0"
"16/11/21","08:24:34","      0","      0","   0"," 221"
"16/11/21","08:29:21","      0","      0","   0"," 222"
"16/11/21","09:04:03","      0","      0"," 200","   0"
"16/11/21","09:08:43","      0","      0"," 199","   0"
"16/11/21","09:24:09","      0","      0","   0"," 203"
"16/11/21","09:28:41","      0","      0","   0"," 203"
"16/11/21","09:56:59","   1485","      0","   0","   0"
"16/11/21","09:59:44","      0","   1480","   0","   0"
"16/11/21","10:03:49","      0","      0"," 204","   0"
"16/11/21","10:08:24","      0","      0"," 201","   0"
"16/11/21","10:23:50","      0","      0","   0"," 201"
"16/11/21","10:28:29","      0","      0","   0"," 203"
"16/11/21","11:03:58","      0","      0"," 201","   0"
"16/11/21","11:08:32","      0","      0"," 201","   0"
"16/11/21","11:23:56","      0","      0","   0"," 203"
"16/11/21","11:28:34","      0","      0","   0"," 201"
"16/11/21","11:56:55","   1485","      0","   0","   0"
"16/11/21","11:59:37","      0","   1475","   0","   0"
"16/11/21","12:03:46","      0","      0"," 201","   0"
"16/11/21","12:08:38","      0","      0"," 200","   0"
"16/11/21","12:24:07","      0","      0","   0"," 200"
"16/11/21","12:28:52","      0","      0","   0"," 204"
"16/11/21","13:03:54","      0","      0"," 204","   0"
"16/11/21","13:08:26","      0","      0"," 203","   0"
"16/11/21","13:23:52","      0","      0","   0"," 201"
"16/11/21","13:28:20","      0","      0","   0"," 202"
"16/11/21","14:04:01","      0","      0"," 202","   0"
"16/11/21","14:08:33","      0","      0"," 202","   0"
"16/11/21","14:23:47","      0","      0","   0"," 202"
"16/11/21","14:28:18","      0","      0","   0"," 203"
"16/11/21","15:03:42","      0","      0"," 204","   0"
"16/11/21","15:08:18","      0","      0"," 202","   0"
"16/11/21","15:23:50","      0","      0","   0"," 204"
"16/11/21","15:28:21","      0","      0","   0"," 203"
"16/11/21","15:56:55","   1485","      0","   0","   0"
"16/11/21","15:59:36","      0","   1475","   0","   0"
"16/11/21","16:03:52","      0","      0"," 203","   0"
"16/11/21","16:08:11","      0","      0"," 201","   0"
"16/11/21","16:23:55","      0","      0","   0"," 202"
"16/11/21","16:28:18","      0","      0","   0"," 204"
"16/11/21","17:04:08","      0","      0"," 201","   0"
"16/11/21","17:08:24","      0","      0"," 202","   0"
"16/11/21","17:12:57","      0","      0","   0"," 201"
"16/11/21","17:16:45","      0","      0","   0"," 204"
"16/11/21","18:04:22","      0","      0"," 201","   0"
"16/11/21","18:08:22","      0","      0"," 202","   0"
"16/11/21","18:24:22","      0","      0","   0"," 201"
"16/11/21","18:28:46","      0","      0","   0"," 203"
"16/11/21","19:04:07","      0","      0"," 202","   0"
"16/11/21","19:08:21","      0","      0"," 203","   0"
"16/11/21","19:23:51","      0","      0","   0"," 204"
"16/11/21","19:28:05","      0","      0","   0"," 202"
"16/11/21","20:04:17","      0","      0"," 202","   0"
"16/11/21","20:08:08","      0","      0"," 201","   0"
"16/11/21","20:24:20","      0","      0","   0"," 200"
"16/11/21","20:28:35","      0","      0","   0"," 203"
"16/11/21","21:04:01","      0","      0"," 203","   0"
"16/11/21","21:08:27","      0","      0"," 203","   0"
"16/11/21","21:24:24","      0","      0","   0"," 201"
"16/11/21","21:28:23","      0","      0","   0"," 203"
"16/11/21","22:04:21","      0","      0"," 202","   0"
"16/11/21","22:08:35","      0","      0"," 202","   0"
"16/11/21","22:23:58","      0","      0","   0"," 202"
"16/11/21","22:28:18","      0","      0","   0"," 202"
"16/11/21","23:04:20","      0","      0"," 201","   0"
"16/11/21","23:08:38","      0","      0"," 201","   0"
"16/11/21","23:24:05","      0","      0","   0"," 202"
"16/11/21","23:28:27","      0","      0","   0"," 202"
