"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"18/05/06","00:01:26","      0","      0"," 162","   0"
"18/05/06","00:05:32","      0","      0"," 163","   0"
"18/05/06","00:23:56","      0","      0","   0"," 151"
"18/05/06","00:27:41","      0","      0","   0"," 159"
"18/05/06","01:03:43","      0","      0"," 158","   0"
"18/05/06","01:07:23","      0","      0"," 158","   0"
"18/05/06","01:23:52","      0","      0","   0"," 153"
"18/05/06","01:27:31","      0","      0","   0"," 158"
"18/05/06","02:03:45","      0","      0"," 150","   0"
"18/05/06","02:07:32","      0","      0"," 158","   0"
"18/05/06","02:24:17","      0","      0","   0"," 163"
"18/05/06","02:27:49","      0","      0","   0"," 151"
"18/05/06","03:03:49","      0","      0"," 152","   0"
"18/05/06","03:07:40","      0","      0"," 152","   0"
"18/05/06","03:23:30","      0","      0","   0"," 157"
"18/05/06","03:27:19","      0","      0","   0"," 155"
"18/05/06","04:03:37","      0","      0"," 150","   0"
"18/05/06","04:07:08","      0","      0"," 154","   0"
"18/05/06","04:23:40","      0","      0","   0"," 151"
"18/05/06","04:27:25","      0","      0","   0"," 153"
"18/05/06","05:03:23","      0","      0"," 149","   0"
"18/05/06","05:07:20","      0","      0"," 164","   0"
"18/05/06","05:23:36","      0","      0","   0"," 165"
"18/05/06","05:27:07","      0","      0","   0"," 150"
"18/05/06","06:03:41","      0","      0"," 154","   0"
"18/05/06","06:07:27","      0","      0"," 157","   0"
"18/05/06","06:23:45","      0","      0","   0"," 158"
"18/05/06","06:27:19","      0","      0","   0"," 156"
"18/05/06","07:03:39","      0","      0"," 158","   0"
"18/05/06","07:07:30","      0","      0"," 159","   0"
"18/05/06","07:23:52","      0","      0","   0"," 157"
"18/05/06","07:27:52","      0","      0","   0"," 163"
"18/05/06","07:57:03","   1395","      0","   0","   0"
"18/05/06","08:00:10","      0","   1390","   0","   0"
"18/05/06","08:03:46","      0","      0"," 160","   0"
"18/05/06","08:07:27","      0","      0"," 148","   0"
"18/05/06","08:23:37","      0","      0","   0"," 156"
"18/05/06","08:27:05","      0","      0","   0"," 151"
"18/05/06","09:03:39","      0","      0"," 150","   0"
"18/05/06","09:07:04","      0","      0"," 147","   0"
"18/05/06","09:23:25","      0","      0","   0"," 149"
"18/05/06","09:27:05","      0","      0","   0"," 147"
"18/05/06","09:57:05","   1395","      0","   0","   0"
"18/05/06","10:00:08","      0","   1390","   0","   0"
"18/05/06","10:03:24","      0","      0"," 144","   0"
"18/05/06","10:07:04","      0","      0"," 152","   0"
"18/05/06","10:23:56","      0","      0","   0"," 160"
"18/05/06","10:27:35","      0","      0","   0"," 149"
"18/05/06","11:03:45","      0","      0"," 154","   0"
"18/05/06","11:07:15","      0","      0"," 150","   0"
"18/05/06","11:24:08","      0","      0","   0"," 161"
"18/05/06","11:27:50","      0","      0","   0"," 153"
"18/05/06","11:57:08","   1395","      0","   0","   0"
"18/05/06","12:00:15","      0","   1390","   0","   0"
"18/05/06","12:03:27","      0","      0"," 156","   0"
"18/05/06","12:06:53","      0","      0"," 152","   0"
"18/05/06","12:23:36","      0","      0","   0"," 154"
"18/05/06","12:27:03","      0","      0","   0"," 154"
"18/05/06","13:03:33","      0","      0"," 155","   0"
"18/05/06","13:07:19","      0","      0"," 151","   0"
"18/05/06","13:23:36","      0","      0","   0"," 154"
"18/05/06","13:27:12","      0","      0","   0"," 152"
"18/05/06","14:03:21","      0","      0"," 153","   0"
"18/05/06","14:06:43","      0","      0"," 154","   0"
"18/05/06","14:23:43","      0","      0","   0"," 157"
"18/05/06","14:27:02","      0","      0","   0"," 152"
"18/05/06","15:03:33","      0","      0"," 153","   0"
"18/05/06","15:06:55","      0","      0"," 148","   0"
"18/05/06","15:23:28","      0","      0","   0"," 155"
"18/05/06","15:27:12","      0","      0","   0"," 154"
