"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"15/08/30","00:02:56","      0","      0"," 264","   0"
"15/08/30","00:21:29","      0","      0","   0","  64"
"15/08/30","01:04:55","      0","      0"," 264","   0"
"15/08/30","01:22:09","      0","      0","   0","  64"
"15/08/30","02:04:46","      0","      0"," 266","   0"
"15/08/30","02:21:58","      0","      0","   0","  61"
"15/08/30","03:04:55","      0","      0"," 262","   0"
"15/08/30","03:21:30","      0","      0","   0","  64"
"15/08/30","04:04:56","      0","      0"," 264","   0"
"15/08/30","04:22:12","      0","      0","   0","  62"
"15/08/30","05:05:04","      0","      0"," 263","   0"
"15/08/30","05:21:32","      0","      0","   0","  58"
"15/08/30","06:05:03","      0","      0"," 262","   0"
"15/08/30","06:21:02","      0","      0","   0","  18"
"15/08/30","07:05:15","      0","      0"," 264","   0"
"15/08/30","07:21:03","      0","      0","   0","  20"
"15/08/30","08:00:08","   3995","      0","   0","   0"
"15/08/30","08:04:47","      0","   3130"," 262","   0"
"15/08/30","08:06:02","      0","    835","   0","   0"
"15/08/30","08:21:06","      0","      0","   0","  22"
"15/08/30","09:04:48","      0","      0"," 264","   0"
"15/08/30","09:21:26","      0","      0","   0","  59"
"15/08/30","09:59:55","   3995","      0","   0","   0"
"15/08/30","10:05:17","      0","   3610"," 265","   0"
"15/08/30","10:05:50","      0","    355","   0","   0"
"15/08/30","10:21:01","      0","      0","   0","  18"
"15/08/30","11:04:54","      0","      0"," 264","   0"
"15/08/30","11:21:48","      0","      0","   0","  87"
"15/08/30","11:58:28","   2995","      0","   0","   0"
"15/08/30","12:02:59","      0","   2985","   0","   0"
"15/08/30","12:05:09","      0","      0"," 266","   0"
"15/08/30","12:21:06","      0","      0","   0","  24"
"15/08/30","13:05:02","      0","      0"," 264","   0"
"15/08/30","13:21:33","      0","      0","   0","  68"
"15/08/30","14:05:25","      0","      0"," 264","   0"
"15/08/30","14:23:23","      0","      0","   0"," 166"
"15/08/30","15:04:58","      0","      0"," 263","   0"
"15/08/30","15:21:32","      0","      0","   0","  71"
"15/08/30","15:25:15","      0","      0","   0"," 164"
"15/08/30","15:58:31","   2995","      0","   0","   0"
"15/08/30","16:03:02","      0","   2985","   0","   0"
"15/08/30","16:05:28","      0","      0"," 263","   0"
"15/08/30","16:21:22","      0","      0","   0","  51"
"15/08/30","16:25:03","      0","      0","   0"," 166"
"15/08/30","17:04:48","      0","      0"," 265","   0"
"15/08/30","17:23:15","      0","      0","   0"," 158"
"15/08/30","17:26:19","      0","      0","   0"," 155"
"15/08/30","18:09:19","      0","      0","  72","   0"
"15/08/30","19:04:04","      0","      0","   0","1066"
"15/08/30","19:24:42","      0","      0","   0","   0"
"15/08/30","19:33:24","      0","      0","   0"," 448"
"15/08/30","19:36:14","      0","      0","   0"," 115"
"15/08/30","20:02:54","      0","      0"," 269","   0"
"15/08/30","20:21:55","      0","      0","   0"," 165"
"15/08/30","20:24:35","      0","      0","   0"," 167"
"15/08/30","21:01:54","      0","      0"," 109","   0"
"15/08/30","21:05:32","      0","      0"," 155","   0"
"15/08/30","21:22:50","      0","      0","   0"," 168"
"15/08/30","21:25:57","      0","      0","   0"," 166"
"15/08/30","22:02:23","      0","      0"," 168","   0"
"15/08/30","22:05:12","      0","      0"," 165","   0"
"15/08/30","22:23:03","      0","      0","   0"," 162"
"15/08/30","22:25:52","      0","      0","   0"," 163"
"15/08/30","23:03:08","      0","      0"," 168","   0"
"15/08/30","23:05:59","      0","      0"," 165","   0"
"15/08/30","23:21:51","      0","      0","   0"," 100"
"15/08/30","23:25:21","      0","      0","   0"," 166"
