"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"17/08/11","00:02:17","      0","      0"," 181","   0"
"17/08/11","00:06:43","      0","      0"," 183","   0"
"17/08/11","00:24:33","      0","      0","   0"," 181"
"17/08/11","00:29:02","      0","      0","   0"," 179"
"17/08/11","01:03:51","      0","      0"," 179","   0"
"17/08/11","01:08:06","      0","      0"," 182","   0"
"17/08/11","01:24:20","      0","      0","   0"," 181"
"17/08/11","01:28:36","      0","      0","   0"," 172"
"17/08/11","02:03:56","      0","      0"," 182","   0"
"17/08/11","02:07:54","      0","      0"," 181","   0"
"17/08/11","02:24:29","      0","      0","   0"," 179"
"17/08/11","02:28:56","      0","      0","   0"," 181"
"17/08/11","03:04:24","      0","      0"," 181","   0"
"17/08/11","03:08:47","      0","      0"," 181","   0"
"17/08/11","03:23:49","      0","      0","   0"," 182"
"17/08/11","03:28:02","      0","      0","   0"," 182"
"17/08/11","04:04:25","      0","      0"," 178","   0"
"17/08/11","04:08:49","      0","      0"," 182","   0"
"17/08/11","04:23:38","      0","      0","   0"," 182"
"17/08/11","04:27:41","      0","      0","   0"," 181"
"17/08/11","05:04:09","      0","      0"," 181","   0"
"17/08/11","05:07:42","      0","      0"," 183","   0"
"17/08/11","05:24:18","      0","      0","   0"," 183"
"17/08/11","05:28:03","      0","      0","   0"," 180"
"17/08/11","06:04:22","      0","      0"," 182","   0"
"17/08/11","06:08:49","      0","      0"," 177","   0"
"17/08/11","06:23:45","      0","      0","   0"," 182"
"17/08/11","06:28:02","      0","      0","   0"," 184"
"17/08/11","07:03:39","      0","      0"," 182","   0"
"17/08/11","07:07:52","      0","      0"," 180","   0"
"17/08/11","07:23:50","      0","      0","   0"," 184"
"17/08/11","07:28:08","      0","      0","   0"," 184"
"17/08/11","07:56:48","   1395","      0","   0","   0"
"17/08/11","07:59:34","      0","   1390","   0","   0"
"17/08/11","08:03:57","      0","      0"," 181","   0"
"17/08/11","08:08:18","      0","      0"," 182","   0"
"17/08/11","08:23:33","      0","      0","   0"," 186"
"17/08/11","08:27:52","      0","      0","   0"," 182"
"17/08/11","09:03:36","      0","      0"," 180","   0"
"17/08/11","09:07:39","      0","      0"," 182","   0"
"17/08/11","09:23:45","      0","      0","   0"," 181"
"17/08/11","09:27:50","      0","      0","   0"," 181"
"17/08/11","09:56:48","   1395","      0","   0","   0"
"17/08/11","09:59:34","      0","   1390","   0","   0"
"17/08/11","10:03:45","      0","      0"," 180","   0"
"17/08/11","10:07:46","      0","      0"," 181","   0"
"17/08/11","10:23:45","      0","      0","   0"," 180"
"17/08/11","10:27:38","      0","      0","   0"," 182"
"17/08/11","11:03:46","      0","      0"," 181","   0"
"17/08/11","11:07:45","      0","      0"," 180","   0"
"17/08/11","11:23:50","      0","      0","   0"," 181"
"17/08/11","11:27:50","      0","      0","   0"," 182"
"17/08/11","11:56:42","   1395","      0","   0","   0"
"17/08/11","11:59:28","      0","   1390","   0","   0"
"17/08/11","12:04:04","      0","      0"," 183","   0"
"17/08/11","12:08:11","      0","      0"," 183","   0"
"17/08/11","12:24:06","      0","      0","   0"," 195"
"17/08/11","12:28:26","      0","      0","   0"," 198"
"17/08/11","13:03:40","      0","      0"," 197","   0"
"17/08/11","13:08:02","      0","      0"," 197","   0"
"17/08/11","13:23:48","      0","      0","   0"," 197"
"17/08/11","13:28:13","      0","      0","   0"," 195"
"17/08/11","14:04:03","      0","      0"," 197","   0"
"17/08/11","14:08:21","      0","      0"," 194","   0"
"17/08/11","14:24:20","      0","      0","   0"," 198"
"17/08/11","14:28:18","      0","      0","   0"," 196"
"17/08/11","15:04:22","      0","      0"," 198","   0"
"17/08/11","15:08:02","      0","      0"," 195","   0"
"17/08/11","15:24:24","      0","      0","   0"," 195"
"17/08/11","15:28:08","      0","      0","   0"," 197"
"17/08/11","15:56:47","   1395","      0","   0","   0"
"17/08/11","15:59:32","      0","   1390","   0","   0"
"17/08/11","16:09:47","      0","      0"," 199","   0"
"17/08/11","16:13:33","      0","      0"," 196","   0"
"17/08/11","16:24:26","      0","      0","   0"," 196"
"17/08/11","16:28:26","      0","      0","   0"," 197"
"17/08/11","17:04:12","      0","      0"," 197","   0"
"17/08/11","17:08:28","      0","      0"," 194","   0"
"17/08/11","17:12:15","      0","      0","   0"," 195"
"17/08/11","17:16:26","      0","      0","   0"," 198"
"17/08/11","18:03:47","      0","      0"," 194","   0"
"17/08/11","18:08:16","      0","      0"," 197","   0"
