"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/01/02","00:01:53","      0","      0"," 208","   0"
"16/01/02","00:05:35","      0","      0"," 207","   0"
"16/01/02","00:23:27","      0","      0","   0"," 208"
"16/01/02","00:27:00","      0","      0","   0"," 208"
"16/01/02","01:04:02","      0","      0"," 205","   0"
"16/01/02","01:07:46","      0","      0"," 205","   0"
"16/01/02","01:23:17","      0","      0","   0"," 203"
"16/01/02","01:27:12","      0","      0","   0"," 208"
"16/01/02","02:03:13","      0","      0"," 204","   0"
"16/01/02","02:07:00","      0","      0"," 201","   0"
"16/01/02","02:23:44","      0","      0","   0"," 207"
"16/01/02","02:26:55","      0","      0","   0"," 208"
"16/01/02","03:03:48","      0","      0"," 206","   0"
"16/01/02","03:07:26","      0","      0"," 204","   0"
"16/01/02","03:23:27","      0","      0","   0"," 206"
"16/01/02","03:27:25","      0","      0","   0"," 207"
"16/01/02","04:03:13","      0","      0"," 205","   0"
"16/01/02","04:06:52","      0","      0"," 205","   0"
"16/01/02","04:23:44","      0","      0","   0"," 205"
"16/01/02","04:27:06","      0","      0","   0"," 207"
"16/01/02","05:03:49","      0","      0"," 207","   0"
"16/01/02","05:06:59","      0","      0"," 206","   0"
"16/01/02","05:23:36","      0","      0","   0"," 207"
"16/01/02","05:27:02","      0","      0","   0"," 208"
"16/01/02","06:03:28","      0","      0"," 207","   0"
"16/01/02","06:06:44","      0","      0"," 208","   0"
"16/01/02","06:23:32","      0","      0","   0"," 206"
"16/01/02","06:26:47","      0","      0","   0"," 207"
"16/01/02","07:03:30","      0","      0"," 204","   0"
"16/01/02","07:07:04","      0","      0"," 205","   0"
"16/01/02","07:23:39","      0","      0","   0"," 204"
"16/01/02","07:27:07","      0","      0","   0"," 204"
"16/01/02","07:56:21","   1495","      0","   0","   0"
"16/01/02","07:58:42","      0","   1485","   0","   0"
"16/01/02","08:03:21","      0","      0"," 205","   0"
"16/01/02","08:06:51","      0","      0"," 206","   0"
"16/01/02","08:23:23","      0","      0","   0"," 206"
"16/01/02","08:27:09","      0","      0","   0"," 205"
"16/01/02","09:03:22","      0","      0"," 205","   0"
"16/01/02","09:07:05","      0","      0"," 205","   0"
"16/01/02","09:23:32","      0","      0","   0"," 207"
"16/01/02","09:26:48","      0","      0","   0"," 203"
"16/01/02","09:56:21","   1495","      0","   0","   0"
"16/01/02","09:58:42","      0","   1485","   0","   0"
"16/01/02","10:03:28","      0","      0"," 208","   0"
"16/01/02","10:06:50","      0","      0"," 208","   0"
"16/01/02","10:23:35","      0","      0","   0"," 204"
"16/01/02","10:26:46","      0","      0","   0"," 208"
"16/01/02","11:03:18","      0","      0"," 205","   0"
"16/01/02","11:06:51","      0","      0"," 206","   0"
"16/01/02","11:23:28","      0","      0","   0"," 207"
"16/01/02","11:27:01","      0","      0","   0"," 203"
"16/01/02","11:56:22","   1495","      0","   0","   0"
"16/01/02","11:58:43","      0","   1485","   0","   0"
"16/01/02","12:03:15","      0","      0"," 206","   0"
