"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/02/13","00:01:48","      0","      0"," 205","   0"
"16/02/13","00:05:03","      0","      0"," 207","   0"
"16/02/13","00:23:54","      0","      0","   0"," 235"
"16/02/13","00:27:26","      0","      0","   0"," 237"
"16/02/13","01:03:33","      0","      0"," 205","   0"
"16/02/13","01:06:49","      0","      0"," 208","   0"
"16/02/13","01:23:44","      0","      0","   0"," 237"
"16/02/13","01:27:20","      0","      0","   0"," 237"
"16/02/13","02:03:37","      0","      0"," 207","   0"
"16/02/13","02:06:49","      0","      0"," 204","   0"
"16/02/13","02:23:59","      0","      0","   0"," 235"
"16/02/13","02:27:41","      0","      0","   0"," 236"
"16/02/13","03:03:33","      0","      0"," 209","   0"
"16/02/13","03:06:54","      0","      0"," 208","   0"
"16/02/13","03:23:54","      0","      0","   0"," 236"
"16/02/13","03:27:23","      0","      0","   0"," 235"
"16/02/13","04:03:39","      0","      0"," 205","   0"
"16/02/13","04:07:00","      0","      0"," 207","   0"
"16/02/13","04:23:50","      0","      0","   0"," 236"
"16/02/13","04:27:31","      0","      0","   0"," 237"
"16/02/13","05:03:17","      0","      0"," 206","   0"
"16/02/13","05:06:42","      0","      0"," 206","   0"
"16/02/13","05:23:45","      0","      0","   0"," 238"
"16/02/13","05:27:32","      0","      0","   0"," 238"
"16/02/13","06:03:22","      0","      0"," 204","   0"
"16/02/13","06:06:43","      0","      0"," 208","   0"
"16/02/13","06:23:32","      0","      0","   0"," 237"
"16/02/13","06:27:19","      0","      0","   0"," 235"
"16/02/13","07:03:12","      0","      0"," 209","   0"
"16/02/13","07:06:20","      0","      0"," 207","   0"
"16/02/13","07:23:42","      0","      0","   0"," 237"
"16/02/13","07:27:16","      0","      0","   0"," 235"
"16/02/13","07:56:21","   1495","      0","   0","   0"
"16/02/13","07:58:41","      0","   1485","   0","   0"
"16/02/13","08:03:26","      0","      0"," 208","   0"
"16/02/13","08:06:33","      0","      0"," 204","   0"
"16/02/13","08:23:54","      0","      0","   0"," 238"
"16/02/13","08:27:28","      0","      0","   0"," 237"
"16/02/13","09:03:13","      0","      0"," 205","   0"
"16/02/13","09:06:38","      0","      0"," 207","   0"
"16/02/13","09:23:37","      0","      0","   0"," 235"
"16/02/13","09:27:13","      0","      0","   0"," 235"
"16/02/13","09:56:22","   1495","      0","   0","   0"
"16/02/13","09:58:43","      0","   1485","   0","   0"
"16/02/13","10:03:23","      0","      0"," 201","   0"
"16/02/13","10:06:55","      0","      0"," 202","   0"
"16/02/13","10:23:38","      0","      0","   0"," 234"
