"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"16/10/02","00:02:35","      0","      0"," 250","   0"
"16/10/02","00:06:56","      0","      0"," 250","   0"
"16/10/02","00:24:10","      0","      0","   0"," 251"
"16/10/02","00:28:35","      0","      0","   0"," 249"
"16/10/02","01:04:22","      0","      0"," 251","   0"
"16/10/02","01:08:11","      0","      0"," 250","   0"
"16/10/02","01:24:26","      0","      0","   0"," 249"
"16/10/02","01:28:30","      0","      0","   0"," 248"
"16/10/02","02:04:23","      0","      0"," 250","   0"
"16/10/02","02:08:39","      0","      0"," 250","   0"
"16/10/02","02:24:01","      0","      0","   0"," 251"
"16/10/02","02:28:18","      0","      0","   0"," 250"
"16/10/02","03:04:00","      0","      0"," 248","   0"
"16/10/02","03:07:59","      0","      0"," 250","   0"
"16/10/02","03:24:17","      0","      0","   0"," 251"
"16/10/02","03:28:15","      0","      0","   0"," 250"
"16/10/02","04:04:21","      0","      0"," 252","   0"
"16/10/02","04:08:17","      0","      0"," 251","   0"
"16/10/02","04:24:29","      0","      0","   0"," 250"
"16/10/02","04:28:33","      0","      0","   0"," 249"
"16/10/02","05:04:33","      0","      0"," 250","   0"
"16/10/02","05:08:36","      0","      0"," 251","   0"
"16/10/02","05:24:19","      0","      0","   0"," 247"
"16/10/02","05:28:33","      0","      0","   0"," 251"
"16/10/02","06:04:06","      0","      0"," 249","   0"
"16/10/02","06:08:21","      0","      0"," 248","   0"
"16/10/02","06:23:50","      0","      0","   0"," 250"
"16/10/02","06:27:59","      0","      0","   0"," 253"
"16/10/02","07:03:51","      0","      0"," 252","   0"
"16/10/02","07:08:13","      0","      0"," 251","   0"
"16/10/02","07:24:02","      0","      0","   0"," 250"
"16/10/02","07:28:23","      0","      0","   0"," 249"
"16/10/02","07:56:36","   1545","      0","   0","   0"
"16/10/02","07:59:07","      0","   1535","   0","   0"
"16/10/02","08:04:02","      0","      0"," 250","   0"
"16/10/02","08:08:29","      0","      0"," 248","   0"
"16/10/02","08:23:52","      0","      0","   0"," 249"
"16/10/02","08:28:18","      0","      0","   0"," 251"
"16/10/02","09:03:46","      0","      0"," 251","   0"
"16/10/02","09:08:06","      0","      0"," 249","   0"
"16/10/02","09:23:49","      0","      0","   0"," 249"
"16/10/02","09:28:15","      0","      0","   0"," 249"
"16/10/02","09:56:33","   1545","      0","   0","   0"
"16/10/02","09:59:05","      0","   1535","   0","   0"
"16/10/02","10:03:56","      0","      0"," 248","   0"
"16/10/02","10:08:29","      0","      0"," 250","   0"
"16/10/02","10:23:49","      0","      0","   0"," 248"
