"Date","Time","Gasfüllstand gesamt %","Gasfüllstand Fermenter 1%","Gasfüllstand Fermenter 2%","Gasfüllstand Nachgärer  %","Gasfüllstand Endlager  %","Gasanalyse % CH4","Gasanalyse % O2","Gasanalyse ppm H2S","BHKW 1 kW","BHKW 2 kW","Temp. Fermenter 1","Temp. Fermenter 2","Temp. Nachgärer","Temp. Endlager"
"15/06/24","00:00:00","  77","  99","  98"," 100","  14","  49","  0.2","   0","  512","    0"," 41.5"," 41.3"," 40.9","102.9"
"15/06/24","01:00:00","  77","  99","  98"," 100","  12","  49","  0.2","   0","  508","    0"," 41.6"," 41.3"," 40.9","102.9"
"15/06/24","02:00:00","  76","  99","  98"," 100","  10","  49","  0.2","   0","  510","    0"," 41.5"," 41.3"," 40.9","102.9"
"15/06/24","03:00:00","  76","  99","  98"," 100","   9","  49","  0.2","   0","  509","    0"," 41.4"," 41.3"," 40.9","102.9"
"15/06/24","04:00:00","  76","  99","  98"," 100","   8","  49","  0.2","   0","  514","    0"," 41.5"," 41.3"," 40.9","102.9"
"15/06/24","05:00:00","  76","  99","  98"," 100","   7","  49","  0.3","   0","  507","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","06:00:00","  75","  99","  98"," 100","   6","  49","  0.3","   0","  511","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","07:00:00","  75","  99","  98"," 100","   5","  49","  0.3","   0","  507","    0"," 41.6"," 41.3"," 40.9","102.9"
"15/06/24","08:00:00","  75","  99","  98"," 100","   3","  49","  0.3","   0","  510","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","09:00:00","  74","  99","  98"," 100","   2","  49","  0.3","   0","  515","    0"," 41.4"," 41.3"," 41.0","102.9"
"15/06/24","10:00:00","  75","  99","  99"," 100","   2","  49","  0.3","   0","  511","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","11:00:00","  74","  99","  99"," 100","   1","  49","  0.3","   0","  507","    0"," 41.4"," 41.3"," 40.9","102.9"
"15/06/24","12:00:00","  75","  99"," 100"," 100","   1","  49","  0.3","   0","  509","    0"," 41.3"," 41.2"," 40.9","102.9"
"15/06/24","13:00:00","  75","  99"," 100"," 100","   1","  49","  0.3","   0","  509","    0"," 41.4"," 41.2"," 41.0","102.9"
"15/06/24","14:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  511","    0"," 41.4"," 41.3"," 41.0","102.9"
"15/06/24","15:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  508","    0"," 41.4"," 41.3"," 40.9","102.9"
"15/06/24","16:00:00","  74","  99","  99"," 100","   0","  49","  0.3","   0","  511","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","17:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  510","    0"," 41.6"," 41.2"," 41.1","102.9"
"15/06/24","18:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  510","    0"," 41.5"," 41.3"," 41.0","102.9"
"15/06/24","19:00:00","  74","  97"," 100"," 100","   0","  49","  0.3","   0","  512","    0"," 41.5"," 41.3"," 41.1","102.9"
"15/06/24","20:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  510","    0"," 41.6"," 41.3"," 41.1","102.9"
"15/06/24","21:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  510","    0"," 41.6"," 41.3"," 41.0","102.9"
"15/06/24","22:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  511","    0"," 41.5"," 41.3"," 41.1","102.9"
"15/06/24","23:00:00","  74","  99"," 100"," 100","   0","  49","  0.3","   0","  511","    0"," 41.5"," 41.3"," 41.1","102.9"
