"Date","Time","Gasfüllstand gesamt %","Gasfüllstand Fermenter 1%","Gasfüllstand Fermenter 2%","Gasfüllstand Nachgärer  %","Gasfüllstand Endlager  %","Gasanalyse % CH4","Gasanalyse % O2","Gasanalyse ppm H2S","BHKW 1 kW","BHKW 2 kW","Temp. Fermenter 1","Temp. Fermenter 2","Temp. Nachgärer","Temp. Endlager"
"15/07/16","00:00:00","  30","   4","  35","  76","   5","  49","  0.0","   0","  457","    0"," 44.1"," 43.1"," 40.9","102.9"
"15/07/16","01:00:00","  30","   4","  37","  74","   5","  49","  0.0","   0","  457","    0"," 44.1"," 43.1"," 40.9","102.9"
"15/07/16","02:00:00","  30","   4","  27","  86","   5","  49","  0.0","   0","  455","    0"," 44.2"," 43.1"," 40.9","102.9"
"15/07/16","03:00:00","  30","   4","  26","  87","   5","  49","  0.0","   0","  456","    0"," 44.1"," 43.2"," 40.9","102.9"
"15/07/16","04:00:00","  29","   4","  29","  78","   5","  49","  0.0","   0","  456","    0"," 44.2"," 43.1"," 40.9","102.9"
"15/07/16","05:00:00","  31","   4","  29","  86","   5","  49","  0.0","   1","  456","    0"," 44.2"," 43.1"," 40.9","102.9"
"15/07/16","06:00:00","  30","   6","  27","  84","   5","  49","  0.0","   1","  456","    0"," 44.2"," 43.1"," 40.9","102.9"
"15/07/16","07:00:00","  30","   4","  27","  87","   5","  49","  0.0","   1","  456","    0"," 44.2"," 43.1"," 40.8","102.9"
"15/07/16","08:00:00","  31","   4","  30","  85","   5","  49","  0.0","   1","  429","    0"," 43.9"," 43.1"," 40.8","102.9"
"15/07/16","09:00:00","  32","   4","  37","  85","   5","  49","  0.0","   1","  428","    0"," 44.2"," 43.1"," 40.9","102.9"
"15/07/16","10:00:00","  32","   4","  37","  84","   5","  49","  0.0","   1","  430","    0"," 44.1"," 43.0"," 40.9","102.9"
"15/07/16","11:00:00","  32","   4","  37","  84","   5","  49","  0.0","   1","  429","    0"," 44.1"," 43.0"," 40.9","102.9"
"15/07/16","12:00:00","  33","   5","  43","  81","   5","  49","  0.0","   1","  431","    0"," 44.0"," 43.1"," 40.9","102.9"
"15/07/16","13:00:00","  34","   5","  49","  79","   5","  48","  0.0","   0","  430","    0"," 44.0"," 43.0"," 40.9","102.9"
"15/07/16","14:00:00","  36","   5","  55","  80","   5","  48","  0.0","   0","  431","    0"," 44.0"," 43.2"," 40.9","102.9"
"15/07/16","15:00:00","  43","   7","  74","  87","   4","  48","  0.0","   0","  430","    0"," 44.1"," 43.1"," 41.0","102.9"
"15/07/16","16:00:00","  43","   6","  76","  88","   5","  48","  0.0","   0","  456","    0"," 44.1"," 43.1"," 41.0","102.9"
"15/07/16","17:00:00","  45","   6","  81","  89","   5","  48","  0.0","   0","  456","    0"," 44.1"," 43.2"," 41.0","102.9"
"15/07/16","18:00:00","  46","   6","  84","  89","   5","  48","  0.0","   0","  454","    0"," 44.1"," 43.1"," 41.1","102.9"
"15/07/16","19:00:00","  45","   6","  81","  89","   5","  48","  0.0","   0","  457","    0"," 44.1"," 43.2"," 41.0","102.9"
"15/07/16","20:00:00","  40","   6","  65","  87","   5","  48","  0.0","   0","  455","    0"," 44.1"," 43.2"," 41.1","102.9"
"15/07/16","21:00:00","  38","   9","  53","  87","   5","  48"," 20.9","   3","  457","    0"," 44.2"," 43.2"," 41.1","102.9"
"15/07/16","22:00:00","  35","  10","  37","  87","   5","  48"," 20.9","   3","  456","    0"," 44.2"," 43.2"," 41.2","102.9"
"15/07/16","23:00:00","  31","  12","  23","  85","   5","  48"," 20.9","   3","  456","    0"," 44.1"," 43.1"," 41.2","102.9"
