"Date","Time","Gasfüllstand gesamt %","Gasfüllstand Fermenter 1%","Gasfüllstand Fermenter 2%","Gasfüllstand Nachgärer  %","Gasfüllstand Endlager  %","Gasanalyse % CH4","Gasanalyse % O2","Gasanalyse ppm H2S","BHKW 1 kW","BHKW 2 kW","Temp. Fermenter 1","Temp. Fermenter 2","Temp. Nachgärer","Temp. Endlager"
"15/06/13","00:00:00","  99","  99"," 100"," 100","  99","  48","  0.4","   0","  349","    0"," 40.9"," 40.9"," 40.0","102.9"
"15/06/13","01:00:00","  99","  99"," 100"," 100","  99","  48","  0.4","   0","  347","    0"," 41.0"," 40.9"," 40.0","102.9"
"15/06/13","02:00:00","  99","  99"," 100"," 100","  99","  48","  0.4","   0","  348","    0"," 41.0"," 40.9"," 40.0","102.9"
"15/06/13","03:00:00","  99","  99"," 100"," 100","  99","  48","  0.4","   0","  348","    0"," 41.0"," 40.8"," 40.0","102.9"
"15/06/13","04:00:00","  99","  99"," 100"," 100","  99","  48","  0.4","   0","  349","    0"," 40.7"," 40.9"," 40.0","102.9"
"15/06/13","05:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  350","    0"," 40.9"," 40.9"," 40.0","102.9"
"15/06/13","06:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  348","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","07:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  348","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","08:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  350","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","09:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  349","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","10:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  349","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","11:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  350","    0"," 40.7"," 40.8"," 39.9","102.9"
"15/06/13","12:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  348","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","13:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  349","    0"," 40.7"," 40.8"," 39.9","102.9"
"15/06/13","14:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  348","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","15:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  348","    0"," 40.9"," 40.9"," 40.0","102.9"
"15/06/13","16:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  350","    0"," 40.8"," 40.8"," 40.0","102.9"
"15/06/13","17:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  348","    0"," 41.0"," 40.8"," 39.9","102.9"
"15/06/13","18:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  348","    0"," 40.9"," 40.7"," 39.9","102.9"
"15/06/13","19:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  348","    0"," 40.8"," 40.8"," 40.0","102.9"
"15/06/13","20:00:00","  99","  99"," 100"," 100","  99","  48","  0.3","   2","  349","    0"," 40.9"," 40.8"," 40.0","102.9"
"15/06/13","21:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  350","    0"," 40.9"," 40.8"," 39.9","102.9"
"15/06/13","22:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  348","    0"," 40.9"," 40.9"," 39.9","102.9"
"15/06/13","23:00:00","  99","  99"," 100"," 100","  99","  49","  0.3","   0","  347","    0"," 40.9"," 40.8"," 39.9","102.9"
